brand_name,platform_name,title,caption_text,hashtags,like_count,view_count,comment_count,upload_date,content_url
,인스타그램,,"""【제이샵】 🎊건강기능식품 대전🎊  제이샵과 함께 건강한 여름을 𝙅𝙐𝙉𝙀비해!💪🌊 뉴트리원, 상아제약 신규 입점 기념 최대 81% 할인➕무료 배송 혜택!  #EVENT 여름과 어울리는 이모지를 댓글로 남겨주세요! 추첨을 통해 ❝BEST 체험팩❞을 선물로 보내드려요💙  ☑제이샵(@jejuair_shop) 팔로우+좋아요 누르기 ☑댓글에 친구태그, 리그램 시 당첨확률 UP!  📌이벤트 기간 : 6/12(목)~6/19(목) 📌당첨자 발표 : 6/24(화) 🎁이벤트 경품 :  ❶ 뉴트리원 루테인 지아잔틴 GR 80캡슐 1박스+ 비비랩 저분자 콜라겐 80포 1박스+카무트(R)브랜드밀 효소골드 1박스(2명) ❷ 상아제약 프로폴리스 스프레이 3병+프로바이오틱스 유산균 1박스(2명) * 당첨자 개별 DM 안내, 경품 랜덤 발송  #제주항공 #jejuair #제주항공제이샵 #제이샵 #건강기능식품 #비타민 #뉴트리원 #상아제약"".","#EVENT, #제주항공, #jejuair, #제주항공제이샵, #제이샵, #건강기능식품, #비타민, #뉴트리원, #상아제약",132,,111,2025-06-12 04:19:14,https://www.instagram.com/p/DKyKt8ozk-n/
,인스타그램,,"""#광고  요즘 친구 선물 고민될 때 나는 무조건 이거에요! 카톡으로 부담없이 보낼 수 있는 건강 루틴템!  #CJ웰케어 #하루한알 #건강구미 선물세트 입니다! 패키지부터 너무 사랑스럽고 귀엽지 않나요~🤗  선물 받는 순간 기분 좋아지는 느낌의 패키지! 언박싱하자마자 ""이거 어디서 샀어?!"" 소리 나오는 사랑스러운 비주얼! 멀티비타민 2개, 루테인 2개, 비오틴 1개, 비타민D 아연 1개  이렇게 한 세트인데, 구성까지 너무 알찬 거 있죠!  선물세트 하나로 여러가지 맛과 구성을 즐길 수 있어 넘 좋아요❣️❣️  그런데 가격이 만원 대?  🌈세트 구성은 15900원으로 카카오톡 선물하기에서만 구입할 수 있어요. 실속 있고 알찬 카카오톡선물하기 아이템~~! 👍👍👍  🌈여러 가지 맛이랑 구성을 한 번에 즐길 수 있는 게 완전 매력적~  🌈각자 자기한테 필요한 거 골라서 먹을 수 있으니까  🌈받는 사람도 진짜 좋아할 것 같아서 선물하는 마음이 더 행복해져요!  저는 우리 가족을 위해서 준비해 보았는데요!  🍒매일 열공하는 우리집 수험생은 눈건강을 위한 루테인 구미를 챙기는데  새콤달콤하고 쫀득하게 씹는 맛도 좋다며 1일 1구미 챙기고 있어요. 간편하게 멀티비타민과 미네랄을 챙기고 싶다면 멀티비타민 &미네랄 구미가 딱이죠  🍒귀여운 귤 모양의 구미가 쫄깃쫄깃!!  상큼함이 팡팡 터지면서 다양한 비타민과 미네랄을 챙길 수 있고요,   🍒저는 풍성영양 비오틴 구미와  뼈건강 비타민D& 아연구미를 주로 챙기는데요.  건강기능식품이지만 맛있게 1일 1구미 하면서 챙길 수 있어  부담이 없고 상큼한 맛 덕분에 기분까지 좋아지는 느낌이었답니다!   ⚘️직접 먹어보니 더 만족스러운 제품! ⚘️이렇게 가족들과 함께 맛있고 건강하게 나눠 먹어도 좋아요! 먹는 재미와 건강을 동시에 선물할 수 있는 핫템! 고민없이 보내는 카톡선물템, 친구 선물로 딱입니다. 👏👏👏 선물할 일이 많은 5월! 가성비 좋고 알찬 선물로 추천드립니다👏👏👏  ✅️지금 카카오선물하기로 만나보세요.  ✅️개별 제품은 쿠팡에서도 구매가능! 궁금하신 분들은 하나씩 구입해보시는 것도 추천합니다 ^-^"".","#광고, #CJ웰케어, #하루한알, #건강구미",1563,,18,2026-05-04 08:15:23,https://www.instagram.com/p/DX6OCCbEfk-/
,인스타그램,,,,,,,2026-02-24 05:09:34,https://www.instagram.com/p/DVIN66uEhz-/
,인스타그램,,"""#광고 1년차 러너가 외부강연을...? . . 알차게 듣고왔습니다!☺️   센트룸 데이에 초대받아 다양한 체험도 즐기고 맛있는 케이터링에 유익한 강연까지 들었는데요!   평소 비타민을 챙겨먹기는 하지만  자세한 내용은 알기 어려웠는데 센트룸이 얼마나 과학적 맞춤 영양  설계를 하는지 알게 되었어요   그리고 뇌과학을 재미있게 풀어주신 장동선 박사님과 달리기를 처음 시작하는 사람을 위해 이연진 코치님의 러닝 팁까지!   즐거운 시간을 선물해준 센트룸과 앞으로도 웰니스 라이프 정진해볼게요!🌿   @centrum_kr    본 포스팅은 ‘센트룸’으로부터 제품과 소정의 원고료를 지원받아 작성한 포스팅입니다.   #센트룸 #비타민 #멀티비타민 #오프라인행사     2604-PM-KR-CNT-26-00074ㅣ건강기능식품 II 센트룸 맨 더블업, 센트룸 우먼 더블업, 센트룸 실버 맨, 센트룸 실버 우먼, 센트룸 타마플렉스 올인원 관절·연골 ·근육ㅣ제조원: 콜마비앤에이치 (주)세종3공장ㅣ센트룸 원데이팩 맨 2030, 센트룸 원데이팩 우먼 2030, 센트룸 원데이팩 맨 40, 센트룸 원데이팩 우먼 40, 센트룸 원데이팩 맨 50+, 센트룸 원데이팩 우먼 50+ | 위탁의뢰 및 제조원(연질캡슐): 콜마비앤에이치 (주)음성공장 | 위탁제조원(정제): 콜마비앤에이치 (주)세종3공장ㅣ센트룸 멀티 구미ㅣMade in Germanyㅣ수입원 및 유통전문판매원: 헤일리온코리아주식회사ㅣ안전한 섭취를 위해 섭취 전 반드시 표기된 제품 정보를 확인하세요.ㅣ한국건강기능식품협회에서 광고심의 받은 광고물입니다."".","#광고, #센트룸, #비타민, #멀티비타민, #오프라인행사",123,,15,2026-05-04 09:00:47,https://www.instagram.com/p/DX6TL68u0eo/
,인스타그램,,"""ㅤ 비타민부터 미네랄까지, 한 번에! CU 종합건강 한 알로 간편하게 챙기세요☀  📌 종근당)종합건강10정 / 5,000원 / 1+1 증정! 📌 한국인 맞춤 설계 비타민&미네랄 20종 📌 비타민B군 7종 1일 영양성분기분치 300% 이상 함유  지금 전국 약 6천개 CU에서 건강기능식품을 가장 가깝게 만나보세요!  오직 CU에서만! ☑ 개당 5,000원에 상시 1+1 👉 개당 2,500원 ☑ 6개 구매시 12,000원 👉 개당 2,000원  ☑ 종근당 9종 상품 간, 교차 구매 가능!  🔍 건강기능식품 판매 점포 및 재고 조회는 포켓CU APP에서 확인하세요⚡  #헬CUP #헬씨업 #건강기능식품 #건기식 #CU건기식 #종합건강 #비타민 #미네랄 #CU #씨유 #당신의_좋은친구_CU  - 판매원 : ㈜종근당 - 제조원 : 코스맥스엔비티"".","#헬CUP, #헬씨업, #건강기능식품, #건기식, #CU건기식, #종합건강, #비타민, #미네랄, #CU, #씨유, #당신의_좋은친구_CU",103,,0,2025-08-25 01:00:55,https://www.instagram.com/p/DNwj_oJXuv8/
,인스타그램,,"""#cu"".",#cu,7,,0,2026-04-22 15:44:41,https://www.instagram.com/p/DXcH6PEk-1F/
,인스타그램,,"""ㅤ #EVENT 다 떨어진 건강기능식품을 발견한 아침! 하루 거르는 게 찝찝한 분?  공복에는 먹기 싫은 건강기능식품! 쉽게 언제든지 섭취하고 싶은 분?  전국 6천개 CU에서 바로 고민 해결 가능합니다 :)   믿을 수 있는 동아제약이 직접 개발한 필수 건강기능식품 8종 런칭  1. 셀파렉스 비타민C #끓어올려 2. 셀파렉스 마그네슘 #에너지 3. 셀파렉스 테아닌 #괜찮아  4. 셀파렉스 루테인지아잔틴 #눈호강 5. 셀파렉스 rTG오메가3 #혈행의선순환 6. 셀파렉스 밀크씨슬 #지금이순간 7. 셀파렉스 MSM 2000 #관절해 8. 셀파렉스 칼슘마그네슘비타민D #약골탈퇴  전 제품 5,000원에 상시 1+1 행사  ㄴ 개당 2,500원!! (교차구매 가능)  9~10월 매주 월요일 ""건강기능식품데이"" 단 하루! 6개 구매 시 67% 파격할인  ㄴ 9,900원 ▶ 개당 1,650원!  💬 댓글 EVENT 💬 지금 나에게 가장 필요한 건강기능식품이 무엇인지 댓글로 남겨주세요! 추첨을 통해 선물을 드립니다!  ✅ CU 공식 인스타그램 팔로우 필수! ✅ 기간: 9/23(화)~9/30(화) ✅ 당첨자 발표: 10/10(금) *당첨자 개별 DM 발표 ✅ 경품: CU 모바일상품권 3천원권 (10명)  ※ 본 이벤트는 2건의 게시물에서 동시에 진행 됩니다.  #동아제약 #셀파렉스 #건강기능식품 #건기식 #CU건기식 #CU #씨유 #당신의_좋은친구_CU  *판매원 ㈜동아제약 *제조원 : ㈜서흥, ㈜코스맥스바이오"".","#EVENT, #끓어올려, #에너지, #괜찮아, #눈호강, #혈행의선순환, #지금이순간, #관절해, #약골탈퇴, #동아제약, #셀파렉스, #건강기능식품, #건기식, #CU건기식, #CU, #씨유, #당신의_좋은친구_CU",223,,149,2025-09-23 04:56:45,https://www.instagram.com/p/DO7V7RgDS2-/
,인스타그램,,"""💬 편의점 CU가 4월 한 달 동안 50% 할인 프로모션을 진행한다.  이는 4월 30일까지 진행이 되며, 아침 시간대인 평일 오전 6시부터 10시까지 간편식 모든 상품을 50% 할인하는 행사이다.  단, 토스페이로 결제시 적용이 가능하며 1일 1회만 사용이 가능하다고 한다.  #뉴스 #이슈 #편의점 #cu #할인"".","#뉴스, #이슈, #편의점, #cu, #할인",1265,,26,2026-04-22 07:44:46,https://www.instagram.com/p/DXbQqf9kXB2/
,인스타그램,,,,,,,2026-05-06 14:30:25,https://www.instagram.com/p/DYACVNjxSH3/
,인스타그램,,"""#광고 유산균 먹여야 하는 건 알고 있었는데 잘 먹고 잘 싸니까 괜찮겠지 했거든요…🥲 근데 이유식 시작하고 간식까지 먹기 시작하니까 확실히 변 보는 걸 힘들어하더라구요ㅠㅠ 분유는 잘 안 먹는 아기라 섞기도 애매하고, 이유식에 넣자니 혹시 안 먹을까 걱정됐는데 그러다 알게 된 닥터에디션 바이오D드롭스!  ✔️ 비타민D + 유산균을 한 번에 ✔️ 논문으로 검증된 프로바이오틱스 ✔️ 이탈리아 유산균 전문기업 PROBIOTICAL S.p.A 제조 👉 장 건강 + 뼈 건강까지 같이 챙길 수 있어서 좋더라구요  무엇보다 ✔️ 액상 스포이드형이라 간편하고 ✔️ 이유식에 섞어도 OK ✔️ 그냥 입에 넣어줘도 거부감 없이 잘 먹어요 👉 입맛 예민한 아기인데도 잘 먹어서 진짜 만족…🫶🏻  그리고 더 좋았던 점👇 ✔️ 8가지 첨가물 無 ✔️ no.1 닥터에디션, 90초에 1병씩 판매될 정도로 인기 제품 👍🏻  (출처: 2025년 총 판매량 기준)  최근 유기농오일(부원료)로 변경되었대요 아기유산균 찾는 분들께 닥터에디션 바이오D드롭스 완전 추천드려요♥️  건강기능식품ㅣ 판매원 ㈜에프앤디넷 ㅣ 제조원 Italy/Probiotical S.p.A 한국건강기능식품협회에서 광고심의를 받은 광고물입니다. 심의번호: 260420232  #닥터에디션 #유산균추천 #아기유산균 #아기건강기능식품"".","#광고, #닥터에디션, #유산균추천, #아기유산균, #아기건강기능식품",803,,15,2026-05-09 06:56:21,https://www.instagram.com/p/DYG85mpP9gd/
,인스타그램,,,,,,,2026-04-24 00:08:21,https://www.instagram.com/p/DXfmCr8knIL/
,인스타그램,,"""안녕하세요 인친님들 갓독자님들 😀😀  오늘은 피부건강에 가장 검증된 영양제 3대장을 추천드립니다👍  제가 약국 10년차에 피부 미백 화이트닝 주름 개선 속건조 개선을 위해 잘 활용한 조합입니다 😄  그럼 알아볼까요?  1️⃣글루타치온 하루에 400-500mg 정도 섭취하시면 피부의 멜라닌 색소 농도가 줄어서 미백 작용 강력한 항산화작용으로 피부 노화 방지 강력한 항 염증 작용으로 저로 피부속 노화방지  그리고 다른 항산화 성분과 시너지가 나는 강력하고 검증된 성분이 글루타치온 입니다  경구 섭취시 흡수가 안된다라는 주장도 있지만 효과가 있다는 임상 데이터도 많이 있습니다  피부 건강을 위해서 콜라겐과 더불어서 가장 먼저 선택할 영양제 성분이라고 보면 좋습니다🥹  2️⃣ 비타민c 비타민c도 글루타치온과 더불어서 전통적인 피부 미백에 강자죠 멜라닌 색소 줄이고 항산화작용으로 피부 건강에 도움을 줍니다  글루타치온과 더불어서  봄 여름 자외선을 인한 피부 노화를 개선 시킬 수 있어요  3️⃣ 콜라겐 콜라겐도 흡수가 되냐 안되냐 놀란이 많지만 효과가 있다는 임상 데이타들이 속속 등장하고 있죠  피부 보습 자외선으로 인한 피부 손상을 예방하고 피부 속 건조를 개선시켜 주는 가장 핵심이 되는 보충제 성분이 콜라겐 입니다  콜라겐은 건강기능 식품 콜라겐을 추천 드리고 식약처 인증 마크 확인 해 주시구요  물론 일반 식품 콜라겐도 나쁘지 않지만 건강기능 식품 콜라겐이 품질이 좀 더 우수 합니다  위에서 말씀드린 이 세 가지를 같이 드시면 시너지가 날 수 있는 조합 입니다  그외에  비오틴도 마케팅이 많이 되고 있는데 메인이 아니구요 엘라스틴도 그렇습니다   올 봄 여름 건강한 피부 미인 미남 되시길 기원 하면서 가장 중요한 건 썬크림 잘 사용하는거죠😀😀😀  감사합니다😄😄  컨텐츠가 도움 되셨으면  좋아요👍 팔로우✅  부탁드립니다  감사합니다😊😊  #피부 #속건조 #미백 #주름개선 #피부미백 #영양제#피부영양제 #약들약 #고약사 #약사가들려주는약이야기"".","#피부, #속건조, #미백, #주름개선, #피부미백, #영양제, #피부영양제, #약들약, #고약사, #약사가들려주는약이야기",4474,,209,2023-02-27 12:28:59,https://www.instagram.com/p/CpKmPAVjEcK/
,인스타그램,,"""#EVENT 메리트C, 당신의 PICK은?! 비타민도 내 취향대로 고르는 시대!  에너지 충전이 필요할 때, 스트레스가 많은 날, 혹은 피곤함을 달래고 싶을 때… 다양한 메리트C 라인업 중, 지금 당신에게 가장 필요한 제품은 무엇인가요? 1. 메리트C산 2,000mg 2. 메리트C산 3,000mg 3. 메리트C&D 메가 4. 메리트C&B 5. 리포좀 비타민C 트리플샷 6. 멀티 비타민 미네랄 구미  📌 이벤트 참여 방법 1️⃣ @huonsn_official 팔로우 & 게시물 좋아요 2️⃣ ‘나에게 필요한 메리트C는 OOO!’ 댓글 남기기 추첨을 통해 10분께 건강한 선물을 드려요! 🎁✨  📅 이벤트 기간: 6/24(화) ~ 6/30(월) 📢 당첨자 발표: 7/4(금) (개별 DM) 🎁 이벤트 경품: 메리트C PICK 제품 (10인 추첨)"".",#EVENT,263,,303,2025-06-24 05:16:53,https://www.instagram.com/p/DLRX6lVtplm/
,인스타그램,,"""광고 브리저튼 보셨죠? 샬럿 여왕역의 인디아 아마르테이피오도 먹는다는 영국 왕실상 받은 유산균이 있어요!  #옵티박 에브리데이 !  요즘 폭식에 야식까지 먹으니 장건강이 무너져서 컨디션도 떨어지더라고요. 면역세포의 약 70% 이상이 장에 분포하고 있어서 장건강이 떨어지면 면역력도 떨어지거든요.  그래서 영국을 대표하는 프로바이오틱스로 대다수 약국판매 건강기능식품 코너 매대에서 판매하고 있을 정도로 핫한 #프리미엄유산균 을 1일 1회 1정씩 간편하게 챙겨요.  저처럼 장이 민감할수록 나에게 맞는 유산균을 선택하는게 중요하거든요.  요건 #프로바이오틱스 수 50억 CFU를 보장하며, 세계 3대 유산균 원료사로 꼽히는 Lallemand균주만 사용한 유산균이라 확실히 꾸준히 섭취하니 달라요.   요즘은 장이 편안해지니 피부 컨디션도 좋아지고 있어요.  엄격한 기준의 영국에서도 인정받은 #영국유산균 , 지금 스마트스토어에서 할인중이니 득템하세요."".","#옵티박, #프리미엄유산균, #프로바이오틱스, #영국유산균",1058,,44,2026-04-06 01:35:56,https://www.instagram.com/p/DWxZ6ATk_QV/
,인스타그램,,"""#뉴트리코어 #하이퍼셀코엔자임q10 #코엔자임큐텐 #건강기능식품"".","#뉴트리코어, #하이퍼셀코엔자임q10, #코엔자임큐텐, #건강기능식품",3,,0,2026-04-21 04:31:51,https://www.instagram.com/p/DXYWHyGlGhC/
,인스타그램,,"""💬고려은단 '멀티비타민 올인원' 요오드 216% 과다 검출  - 건강기능식품 업체 고려은단 헬스케어의 '멀티비타민 올인원 60정' 제품이 판매 중단 및 회수 조치 중  - 일부 제품의 요오드 함량이 60㎍ (1일 섭취 권장량의 40%)으로 표시됐으나 검사 결과 2배 이상인 129.6㎍ (1일 섭취 권장량의 86%)이 검출  - 이는 표시 기준 허용 범위 (표시량의 80~150%)를 넘어선 216%에 해당하는 수치이며 요오드를 과잉 섭취 시 갑상선 기능 이상 등 부작용이 발생  📷식약처  👀당장 주목해야 할 사회•경제 소식 구독하기 @attention.point"".",,341,,11,2025-04-24 02:23:53,https://www.instagram.com/p/DIz_t2ESdfz/
,인스타그램,,"""한국바이오협회 | 바이오➕ ‘커리어’ 🏭 GMP 취업, 실무 중심으로 제대로 준비하고 싶다면?  바이오의약·건강기능식품 분야 생산·품질 직무 취업희망자를 위한 GMP 집중 과정(2026-2차)을 소개합니다.  📌 어떤 교육인가요? 「2026-2차 바이오의약 및 건강기능식품 GMP 과정」은 생산·품질관리·품질분석 기술인력 양성을 목표로 한 12주 과정입니다. 공통 이론교육 4주와 실무교육 8주로 구성되며, 바이오의약 GMP, 건강기능식품 GMP, 바이오의약품 품질분석까지 현장 중심 커리큘럼으로 운영됩니다. 2014년부터 약 2,272명이 수료했으며, 전년도 취업률 80%를 기록한 실무형 교육입니다.  🗓️ 일정 2026. 7. 6 ~ 9. 30 (총 12주) 교육비 무료(교재 제공) ※ 일정 기준 이상 출석 시 월 30~50만원 지원금 지급  🎯 이런 분께 추천드립니다 -이공계 전공 전문대·학사 졸업(예정)자 -바이오의약·건강기능식품 생산·품질 직무 취업 희망자 -GMP 기반 현장 실무 역량을 체계적으로 갖추고 싶은 분  👥 모집인원: 76명  📝 지원기간 -1그룹: ~ 2026. 5. 25(월) -2그룹: ~ 2026. 6. 7(일)  👉 지원방법: 사람인 온라인 접수 🔗 프로필 링크 한국바이오협회 홈페이지 공지사항 확인하기!"".",,71,,2,2026-05-11 06:43:44,https://www.instagram.com/p/DYMFHIdk84k/
,인스타그램,,,,,,,2026-02-25 18:13:19,https://www.instagram.com/p/DVLbgB1AdgN/
