comment_text,content_id,형태소,형태소기반_감정,맥락기반_감정
배송은 어떻게 하나요?. 매입을 해서 개별 배송인지 궁금합니다.,51,"['배송', '어떻', '매입', '개별', '배송', '궁금하']",중립,중립
건기식도주문들어오면매장가서픽업해서가격표제거후배송하시는거죠?,51,"['건기', '주문', '들어오', '매장', '픽업', '가격표', '제거', '배송']",중립,중립
다이소에 가격이 다 적혀 있는데 그냥 그대로 보내도 상관 없는거에요? 요즘 바코드가격으로 스티커없이도 되어잇던데 상관없아오?,51,"['다이소', '가격', '적히', '보내', '상관', '요즘', '바코드', '가격', '스티커', '상관없']",중립,중립
같은 제품 보니깐 다 무료배송인데 배송비 포장비는 어떻하나요?,51,"['제품', '무료', '배송', '배송', '포장', '어떻', '하나']",중립,중립
저 가격이 뻔히 있다면 쿠팡하고 다이소몰에서 비교해서 다이소몰에서 사는 사람도 있지 않을까요?,51,"['가격', '쿠팡', '다이소', '비교', '다이소', '사람']",중립,중립
다이소에 있는것을 쿠팡에서 사나요?,51,"['다이소', '쿠팡']",중립,중립
이런 영상은 많다 문제는 하나같이 배송비는 말을안해주네? 강의팔이라 그런가,51,"['영상', '문제', '배송비', '강의', '그렇']",중립,중립
100만 가자!,52,[],중립,중립
우와 혈당스파이크때문에 첫끼 이후 식곤증이 너무 심한 타입이라 애사비 등 찾아다니고있었는데 다이소에도 저런게 있군요 며칠내로 당장 사서 바나바잎추출물 먹어봐야겠어요!,52,"['혈당', '스파이크', '때문', '이후', '식곤증', '심하', '타입', '찾아다니', '다이소', '며칠', '당장', '바나바', '추출물']",중립,중립
미성년자 먹어도 될까요? 그리고 저기 있는거 멋대로 맞는거 골라서 조합해서 먹어도 문제 없는걸까요?,52,"['미성년자', '저기', '고르', '조합', '문제']",중립,중립
이제 직구 안해도 되겠네요,53,['직구'],중립,중립
당장 다이소에 달려간다,53,"['당장', '다이소', '달려가']",중립,중립
"확실히 의사는 영양소와 천연물에 대해서 잘 모름. 아연이라고 적혀 있으면 다 같은 아연이고 칼슘이라고 적혀 있으면 다같은줄 아는 모양. 조개껍질 갈아 넣어도 칼슘,고급 유기산 칼슘도 칼슘, 그러나 원료 가격부터 효과까지 천지차이 . 가격이 비싼건 이유가 있고 환자의 반응도 분명하게 차이남. 그래서 저가품은 조금 먹다가 굴러 다니다가 버리게 됨.오히려 돈 날리는 셈",53,"['의사', '영양소', '천연', '대하', '모르', '아연', '적히', '아연', '칼슘', '적히', '모양', '조개', '껍질', '칼슘', '고급', '유기산', '칼슘', '칼슘', '원료', '가격', '효과', '천지', '차이', '가격', '비싸', '이유', '환자', '반응', '차이', '저가', '구르', '다니', '버리', '날리']",중립,중립
아 다이소 눈영양제 사고 싶어서 검색해봅니다^^,54,"['다이소', '영양제', '검색']",중립,중립
😅😅😅😅😅😅🎉🎉🎉🎉🎉🎉,54,[],중립,중립
,55,[],중립,중립
티니핑 ..어린이 영양재랑 액상 마그네슘은 어떤가요?,56,"['티니핑', '어린이', '영양', '액상', '마그네슘', '어떻']",중립,중립
바나바잎은 단종ㅜㅜ,56,"['바나바', '단종']",중립,중립
약사들도 연합해서 일본 드럭스토어처럼 크게 만들면 해결 아님?,58,"['약사', '연합', '일본', '드럭', '스토어', '만들', '해결', '아니']",중립,중립
의사도 똑같은 개혁이 필요함,58,"['의사', '똑같', '개혁', '필요']",중립,중립
